hh_id,ptc_id,wave,wealth_index
HH20180797,PT2018079700,1,4.996718814562157
HH20180970,PT2018097000,1,-1.8274066892903702
HH20181041,PT2018104100,1,2.116188250916183
HH20181059,PT2018105900,1,-2.875963214791486
HH20181110,PT2018111000,1,-1.1838945370312737
HH20180449,PT2018044900,1,-0.5262583254181463
HH20180764,PT2018076400,1,-2.918026846705501
HH20180765,PT2018076500,1,-2.516642031823208
HH20180766,PT2018076600,1,-3.9304349290212643
HH20180768,PT2018076800,1,-2.289604681328748
HH20180798,PT2018079800,1,2.6246798370541304
HH20180971,PT2018097100,1,-2.8197550527862547
HH20180972,PT2018097200,1,-1.8664577236876478
HH20180973,PT2018097300,1,-0.33228343708717184
HH20180974,PT2018097400,1,11.575415411417207
HH20181042,PT2018104200,1,-2.113236515639664
HH20181043,PT2018104300,1,3.295468671343537
HH20181044,PT2018104400,1,7.99095385536664
HH20181062,PT2018106200,1,-3.4264412116451166
HH20181063,PT2018106300,1,0.9003687422436342
HH20181064,PT2018106400,1,-4.3176059398418
HH20181065,PT2018106500,1,-4.285932152963935
HH20181066,PT2018106600,1,-0.7236305976715531
HH20180348,PT2018034800,1,0.3200901485229235
HH20180349,PT2018034900,1,2.312337055594156
HH20180350,PT2018035000,1,1.5506703805723283
HH20180486,PT2018048600,1,0.553876261726082
HH20180487,PT2018048700,1,-8.761257972990132
HH20180488,PT2018048800,1,0.32642778802160144
HH20180489,PT2018048900,1,0.8855367661712663
HH20180769,PT2018076900,1,-5.484020460780473
HH20180770,PT2018077000,1,2.1430010839020937
HH20180975,PT2018097500,1,-2.4478178226785134
HH20180976,PT2018097600,1,12.335549617917934
HH20180977,PT2018097700,1,-3.920507358889528
HH20181045,PT2018104500,1,-2.7518676068816985
HH20181046,PT2018104600,1,0.428941592576105
HH20181047,PT2018104700,1,-0.13148526504194546
HH20181048,PT2018104800,1,2.8830183470723365
HH20181112,PT2018111200,1,1.1307056708100063
HH20181113,PT2018111300,1,-3.2309979167689145
HH20181114,PT2018111400,1,2.2276485107262114
HH20181115,PT2018111500,1,-6.3232521737780205
HH20181170,PT2018117000,1,-0.06048060197682688
HH20180490,PT2018049000,1,1.1089283919374857
HH20180491,PT2018049100,1,3.6567414358639616
HH20180492,PT2018049200,1,-1.648646950594155
HH20180493,PT2018049300,1,4.792439870681623
HH20180771,PT2018077100,1,-1.5735218280716723
HH20180772,PT2018077200,1,1.4215703057590596
HH20180773,PT2018077300,1,3.0424939343385096
HH20180774,PT2018077400,1,-8.335236066420833
HH20180978,PT2018097800,1,-2.8408539230957284
HH20180979,PT2018097900,1,0.1458215354648324
HH20181084,PT2018108400,1,2.2578679026973947
HH20181085,PT2018108500,1,-4.074152772333199
HH20181145,PT2018114500,1,4.706549455374893
HH20181146,PT2018114600,1,2.1285124585921964
HH20181148,PT2018114800,1,-2.167980033587006
HH20181149,PT2018114900,1,-3.241370905562698
HH20181171,PT2018117100,1,3.5685081927662137
HH20181172,PT2018117200,1,2.06712725241828
HH20181173,PT2018117300,1,4.183039134882176
HH20181174,PT2018117400,1,0.42268417782348017
HH20180345,PT2018034500,1,4.252184144302319
HH20180346,PT2018034600,1,10.784563999618184
HH20180347,PT2018034700,1,0.6063826238159744
HH20180494,PT2018049400,1,4.513438025241117
HH20180496,PT2018049600,1,-0.2852361070733223
HH20180497,PT2018049700,1,4.356825897459012
HH20180498,PT2018049800,1,3.4384123112346536
HH20180776,PT2018077600,1,4.900055248794244
HH20180980,PT2018098000,1,-1.9776219075069243
HH20180981,PT2018098100,1,5.794041607911127
HH20180982,PT2018098200,1,7.487247732673564
HH20181137,PT2018113700,1,-1.2680881365015784
HH20181141,PT2018114100,1,0.21440053550259955
HH20181142,PT2018114200,1,8.61903033303713
HH20181147,PT2018114700,1,-0.4239872487858958
HH20181175,PT2018117500,1,-0.15697942297705725
HH20181176,PT2018117600,1,5.562156422467801
HH20181177,PT2018117700,1,0.002632816436434364
HH20181178,PT2018117800,1,2.648978528545336
HH20181201,PT2018120100,1,-2.4685444354032904
HH20180340,PT2018034000,1,3.3382660152269654
HH20180341,PT2018034100,1,9.733925863410406
HH20180342,PT2018034200,1,1.473024832699789
HH20180343,PT2018034300,1,-1.2907679248497574
HH20180344,PT2018034400,1,2.020795985862342
HH20180641,PT2018064100,1,0.6642110299096385
HH20180642,PT2018064200,1,-2.437140389065477
HH20180643,PT2018064300,1,1.2099458446773528
HH20180644,PT2018064400,1,1.3274633373759086
HH20180645,PT2018064500,1,1.308449262494146
HH20180983,PT2018098300,1,6.342327930510824
HH20180984,PT2018098400,1,1.843128489509703
HH20181138,PT2018113800,1,-1.272430992401345
HH20181139,PT2018113900,1,4.100437373692704
HH20181140,PT2018114000,1,1.011086657932619
HH20181179,PT2018117900,1,2.5951672336707987
HH20181180,PT2018118000,1,-3.1257682269801714
HH20181181,PT2018118100,1,-0.3720849272231337
HH20181182,PT2018118200,1,7.66662155389144
HH20181183,PT2018118300,1,10.559825899901965
HH20180404,PT2018040400,1,4.809231878003855
HH20180405,PT2018040500,1,2.277527723575393
HH20180406,PT2018040600,1,-6.36644135536301
HH20180447,PT2018044700,1,0.15221373086134374
HH20180448,PT2018044800,1,0.8074493458278942
HH20180478,PT2018047800,1,5.031981174713225
HH20180479,PT2018047900,1,-6.408448452067498
HH20180480,PT2018048000,1,-1.506160554306316
HH20180481,PT2018048100,1,-0.09995314922814968
HH20180799,PT2018079900,1,0.08587744992499333
HH20180900,PT2018090000,1,0.9096186200801128
HH20180901,PT2018090100,1,8.38335175576991
HH20180902,PT2018090200,1,1.3295719229012564
HH20180903,PT2018090300,1,-0.87474633378943
HH20180905,PT2018090500,1,6.997845986788542
HH20181116,PT2018111600,1,-2.2506188788827073
HH20181117,PT2018111700,1,2.5330248051487203
HH20181136,PT2018113600,1,3.8967247287808986
HH20181143,PT2018114300,1,1.0366317447902134
HH20181144,PT2018114400,1,-5.964396629741191
HH20180334,PT2018033400,1,-2.5180733117745464
HH20180335,PT2018033500,1,-1.4051797964198915
HH20180336,PT2018033600,1,-0.4477694455964816
HH20180337,PT2018033700,1,-1.0053103598536461
HH20180339,PT2018033900,1,2.6551757028647254
HH20180443,PT2018044300,1,-7.280594609197503
HH20180444,PT2018044400,1,3.5450556797871373
HH20180445,PT2018044500,1,-2.9025706254889267
HH20180446,PT2018044600,1,-3.4158715846482712
HH20180473,PT2018047300,1,-3.7400231128147094
HH20180474,PT2018047400,1,2.6919497851201646
HH20180475,PT2018047500,1,1.2987140217265478
HH20180476,PT2018047600,1,1.7860366229369722
HH20180477,PT2018047700,1,4.670188964804188
HH20180985,PT2018098500,1,-0.46405293393435076
HH20181118,PT2018111800,1,-2.531375333309903
HH20181119,PT2018111900,1,1.1726195320624362
HH20181120,PT2018112000,1,4.719405009382635
HH20181121,PT2018112100,1,5.90678740378724
HH20181122,PT2018112200,1,1.449194748970392
HH20180649,PT2018064900,1,2.703182007902049
HH20180650,PT2018065000,1,-4.207803553991921
HH20180651,PT2018065100,1,6.811766913855767
HH20180652,PT2018065200,1,7.168395671857286
HH20180653,PT2018065300,1,0.01203800244917482
HH20180654,PT2018065400,1,-0.4492120764324972
HH20180906,PT2018090600,1,-3.3153268650586347
HH20180907,PT2018090700,1,3.8435938398113625
HH20180908,PT2018090800,1,-0.14208633333455956
HH20180909,PT2018090900,1,1.1910633212760342
HH20180969,PT2018096900,1,2.9544985967197217
HH20180986,PT2018098600,1,2.558362633781768
HH20180987,PT2018098700,1,0.21380768095673777
HH20180988,PT2018098800,1,-0.4861577037904024
HH20180989,PT2018098900,1,4.5082433860898785
HH20180990,PT2018099000,1,-2.466714796020779
HH20181184,PT2018118400,1,5.923608705130224
HH20181185,PT2018118500,1,0.47054838529327003
HH20181186,PT2018118600,1,3.2987348427437935
HH20181187,PT2018118700,1,1.0001333979045273
HH20180375,PT2018037500,1,3.597508510095951
HH20180376,PT2018037600,1,-4.1126424535385775
HH20180400,PT2018040000,1,3.5018534678369595
HH20180593,PT2018059300,1,0.13888158969242823
HH20180594,PT2018059400,1,2.139978834876515
HH20180599,PT2018059900,1,-2.8465574020965354
HH20180600,PT2018060000,1,-2.678912105917316
HH20180640,PT2018064000,1,-1.5515884779061504
HH20180646,PT2018064600,1,-2.7753212678806443
HH20180648,PT2018064800,1,-1.0234124687826485
HH20180743,PT2018074300,1,-1.137868705904127
HH20180991,PT2018099100,1,0.8914884990580099
HH20180992,PT2018099200,1,-0.08335302875989085
HH20180993,PT2018099300,1,6.823813182758105
HH20180332,PT2018033200,1,-1.8702475175323396
HH20180333,PT2018033300,1,2.5958117276689614
HH20180371,PT2018037100,1,0.22757431003125173
HH20180372,PT2018037200,1,-0.705870430699949
HH20180373,PT2018037300,1,0.49314873686986593
HH20180374,PT2018037400,1,1.8405067481506263
HH20180469,PT2018046900,1,5.520098522443863
HH20180470,PT2018047000,1,1.8331735451935893
HH20180471,PT2018047100,1,-1.2284456791942593
HH20180472,PT2018047200,1,-1.240021566946708
HH20180596,PT2018059600,1,-3.7529290551069603
HH20180597,PT2018059700,1,-3.1349268586528245
HH20180994,PT2018099400,1,2.097662519901863
HH20180995,PT2018099500,1,-3.672096559087773
